"","STATEFIPS","STATE","COUNTYFIPS","COUNTYNAME","year","num.returns","married.pct","dependents.ratio","adjusted.gross.income.avg","wages.avg","farming.ratio","unemployed.ratio","dividends.ratio","business.ratio","realestate.ratio","mortgage.ratio","contributions.ratio","taxcredits.ratio"
"1","01","AL","000","Alabama",2013,2048400,0.376161882444835,0.737404803749268,50.6542355008787,37.1596572934974,0.0226176528021871,0.0479789103690685,0.132776801405975,0.164113454403437,0.217916422573716,0.199423940636594,1.47810290958797,630220
"2","01","AL","001","Autauga County",2013,23690,0.422119037568594,0.763191219924019,50.6323343182778,38.7179400590967,0.0164626424651752,0.0405234276065851,0.127479949345715,0.140565639510342,0.224567327986492,0.214014352047277,1.22629801604052,7870
"3","01","AL","003","Baldwin County",2013,89970,0.432144048016005,0.62376347671446,55.1943647882628,37.2635767478048,0.0130043347782594,0.03945759697677,0.185283983550072,0.183839057463599,0.236412137379126,0.214849394242525,1.2731021451595,26140
"4","01","AL","005","Barbour County",2013,10070,0.313803376365442,0.804369414101291,40.2165839126117,26.9220456802383,0.0446871896722939,0.0556107249255213,0.109235352532274,0.167825223435948,0.150943396226415,0.126117179741807,0.961569016881827,2720
"5","01","AL","007","Bibb County",2013,8000,0.42125,0.81125,45.180125,34.284875,0.025,0.05125,0.07,0.1475,0.1525,0.14,1.024875,2450
"6","01","AL","009","Blount County",2013,22010,0.516129032258065,0.779645615629259,45.613539300318,35.4686051794639,0.0490686051794639,0.0490686051794639,0.0908677873693776,0.169922762380736,0.190822353475693,0.177646524307133,0.982962289868242,7020
"7","01","AL","011","Bullock County",2013,3950,0.172151898734177,0.878481012658228,31.3858227848101,24.2263291139241,0.0658227848101266,0.0582278481012658,0.0708860759493671,0.149367088607595,0.118987341772152,0.10126582278481,0.787088607594937,1150
"8","01","AL","013","Butler County",2013,8190,0.31990231990232,0.807081807081807,38.6302808302808,28.8741147741148,0.0512820512820513,0.0757020757020757,0.0854700854700855,0.151404151404151,0.117216117216117,0.0989010989010989,0.710500610500611,2460
"9","01","AL","015","Calhoun County",2013,47890,0.396533723115473,0.704113593652119,43.0282940070996,31.1185216120276,0.0146168302359574,0.0578408853622886,0.115472958864063,0.143871371893924,0.171643349342243,0.156608895385258,1.12468156191272,14340
"10","01","AL","017","Chambers County",2013,14850,0.274747474747475,0.796632996632997,34.1737373737374,28.4976430976431,0.0188552188552189,0.0531986531986532,0.0821548821548822,0.191245791245791,0.146127946127946,0.131986531986532,1.06424242424242,4860
"11","01","AL","019","Cherokee County",2013,9170,0.497273718647764,0.682660850599782,40.782878953108,29.8752453653217,0.0567066521264995,0.0905125408942203,0.116684841875682,0.179934569247546,0.161395856052345,0.13958560523446,0.845801526717557,2690
"12","01","AL","021","Chilton County",2013,17460,0.441580756013746,0.831042382588774,41.9905498281787,33.4095647193585,0.0263459335624284,0.0486827033218786,0.079610538373425,0.171248568155785,0.163230240549828,0.151202749140893,1.03339060710195,5240
"13","01","AL","023","Choctaw County",2013,5240,0.396946564885496,0.765267175572519,45.7757633587786,35.4038167938931,0.0553435114503817,0.0553435114503817,0.083969465648855,0.158396946564885,0.17175572519084,0.129770992366412,1.19236641221374,1620
"14","01","AL","025","Clarke County",2013,10310,0.361784675072745,0.843840931134821,46.7633365664404,33.5941804073715,0.0417070805043647,0.0620756547041707,0.0969932104752667,0.176527643064985,0.167798254122211,0.149369544131911,1.3713870029098,2980
"15","01","AL","027","Clay County",2013,5560,0.435251798561151,0.723021582733813,37.6023381294964,29.5052158273381,0.0683453237410072,0.0593525179856115,0.0863309352517986,0.152877697841727,0.140287769784173,0.120503597122302,0.907913669064748,1590
"16","01","AL","029","Cleburne County",2013,5680,0.515845070422535,0.806338028169014,42.1713028169014,34.0744718309859,0.0633802816901408,0.0757042253521127,0.0915492957746479,0.177816901408451,0.177816901408451,0.158450704225352,1.05105633802817,1690
"17","01","AL","031","Coffee County",2013,20840,0.439059500959693,0.737523992322457,51.1071497120921,36.9219769673704,0.0422264875239923,0.0422264875239923,0.129078694817658,0.136756238003839,0.197696737044146,0.182341650671785,1.17399232245681,6590
"18","01","AL","033","Colbert County",2013,23700,0.431645569620253,0.636708860759494,46.5303797468354,33.4411814345992,0.029957805907173,0.0645569620253165,0.114345991561181,0.160759493670886,0.188607594936709,0.163713080168776,1.22594936708861,7020
"19","01","AL","035","Conecuh County",2013,5020,0.326693227091633,0.782868525896414,37.5342629482072,26.7215139442231,0.0677290836653386,0.0697211155378486,0.0697211155378486,0.175298804780877,0.119521912350598,0.0936254980079681,0.790239043824701,1300
"20","01","AL","037","Coosa County",2013,4050,0.37283950617284,0.703703703703704,38.7649382716049,29.9241975308642,0.0296296296296296,0.0691358024691358,0.0765432098765432,0.123456790123457,0.130864197530864,0.118518518518519,0.758024691358025,1150
"21","01","AL","039","Covington County",2013,15100,0.431788079470199,0.683443708609272,43.5513245033113,32.6225165562914,0.0615894039735099,0.0754966887417219,0.109271523178808,0.160927152317881,0.141721854304636,0.125827814569536,0.816953642384106,4180
"22","01","AL","041","Crenshaw County",2013,5810,0.38382099827883,0.734939759036145,39.2292598967298,31.3385542168675,0.0843373493975904,0.0585197934595525,0.0774526678141136,0.160068846815835,0.122203098106713,0.104991394148021,0.711876075731497,1790
"23","01","AL","043","Cullman County",2013,33050,0.485627836611195,0.704689863842663,45.5486232980333,34.1465355521936,0.0599092284417549,0.0493192133131619,0.118003025718608,0.175794251134644,0.168835098335855,0.151891074130106,1.05025718608169,10070
