"STATE","COUNTYNAME","fips","Year","num.returns","married.pct","dependents.ratio","adjusted.gross.income.avg","wages.avg","farming.ratio","unemployed.ratio","dividends.ratio","business.ratio","realestate.ratio","mortgage.ratio","contributions.ratio","taxcredits.ratio"
"AL","Alabama","01000",2015,2053620,0.371641296831936,0.714367799300747,54.4352562791558,39.1133432670114,0.0220196531003788,0.0282574186071425,0.130700908639378,0.168146979480138,0.208582892648104,0.187770863158715,1.64559947799496,0.307466814697948
"AL","Autauga County","01001",2015,23960,0.418196994991653,0.742904841402337,53.8819282136895,40.869449081803,0.0158597662771285,0.0200333889816361,0.126460767946578,0.145659432387312,0.212437395659432,0.201585976627713,1.26335559265442,0.3330550918197
"AL","Baldwin County","01003",2015,93140,0.427313721279794,0.607150526089757,59.9659330040799,39.1560554004724,0.0122396392527378,0.0224393386300193,0.182950397251449,0.18767446854198,0.225896499892635,0.202705604466395,1.3622503757784,0.290100923341207
"AL","Barbour County","01005",2015,9590,0.314911366006257,0.786235662148071,39.2764337851929,28.3295099061522,0.0448383733055266,0.0302398331595412,0.10844629822732,0.172054223149114,0.143899895724713,0.116788321167883,0.985818561001043,0.266944734098019
"AL","Bibb County","01007",2015,7960,0.422110552763819,0.791457286432161,47.6689698492462,36.3309045226131,0.0263819095477387,0.0364321608040201,0.0653266331658292,0.152010050251256,0.141959798994975,0.128140703517588,1.08341708542714,0.312814070351759
"AL","Blount County","01009",2015,22020,0.508628519527702,0.752497729336966,48.1010445049955,36.952770208901,0.0495004541326067,0.0263396911898274,0.0926430517711172,0.169845594913715,0.177111716621253,0.163487738419619,1.00871934604905,0.317892824704814
"AL","Bullock County","01011",2015,3860,0.176165803108808,0.867875647668394,32.2974093264249,25.3883419689119,0.0518134715025907,0.0466321243523316,0.0647668393782383,0.163212435233161,0.121761658031088,0.0932642487046632,0.866321243523316,0.305699481865285
"AL","Butler County","01013",2015,8230,0.302551640340219,0.766707168894289,39.5557715674362,30.1658566221142,0.0510328068043742,0.0461725394896719,0.0838396111786148,0.155528554070474,0.114216281895504,0.0984204131227217,0.829526123936817,0.292831105710814
"AL","Calhoun County","01015",2015,48110,0.382456869673665,0.680108085637082,44.7891914362918,32.1662855955103,0.0147578466015381,0.0282685512367491,0.109748493036791,0.140303471211806,0.160673456661817,0.144044897110788,1.20282685512367,0.29931407191852
"AL","Chambers County","01017",2015,14550,0.273539518900344,0.752577319587629,35.7321649484536,30.3066666666667,0.0192439862542955,0.0316151202749141,0.0776632302405498,0.2,0.140893470790378,0.127147766323024,1.13134020618557,0.331958762886598
"AL","Cherokee County","01019",2015,9210,0.476655808903366,0.657980456026059,43.1071661237785,31.1878393051032,0.0542888165038002,0.0586319218241042,0.117263843648208,0.173724212812161,0.152008686210641,0.129207383279045,0.926058631921824,0.282301845819761
"AL","Chilton County","01021",2015,17300,0.443352601156069,0.786127167630058,44.8964739884393,35.5757803468208,0.0283236994219653,0.0271676300578035,0.0797687861271676,0.183236994219653,0.158381502890173,0.140462427745665,1.06612716763006,0.307514450867052
"AL","Choctaw County","01023",2015,5090,0.385068762278978,0.766208251473477,47.043025540275,36.1565815324165,0.0530451866404715,0.0451866404715128,0.0825147347740668,0.165029469548134,0.161100196463654,0.131630648330059,1.27976424361493,0.294695481335953
"AL","Clarke County","01025",2015,10220,0.352250489236791,0.806262230919765,47.1928571428571,34.3509784735812,0.0391389432485323,0.0459882583170254,0.0998043052837573,0.178082191780822,0.160469667318982,0.134050880626223,1.42318982387476,0.297455968688845
"AL","Clay County","01027",2015,5540,0.431407942238267,0.711191335740072,42.7774368231047,32.041155234657,0.0685920577617329,0.0288808664259928,0.0812274368231047,0.148014440433213,0.135379061371841,0.117328519855596,1.06678700361011,0.297833935018051
"AL","Cleburne County","01029",2015,5660,0.49469964664311,0.743816254416961,45.9533568904594,35.6287985865724,0.0671378091872792,0.0441696113074205,0.0848056537102474,0.176678445229682,0.160777385159011,0.141342756183746,1.10671378091873,0.300353356890459
"AL","Coffee County","01031",2015,21330,0.42850445382091,0.719174871073605,53.5413970932958,38.3343647444913,0.0412564463197375,0.0225035161744023,0.127051101734646,0.13314580403188,0.178152836380684,0.164556962025316,1.17407407407407,0.309423347398031
"AL","Colbert County","01033",2015,23690,0.418742085268046,0.622203461376108,49.4262980160405,34.8830730265935,0.0287040945546644,0.0434782608695652,0.117349092444069,0.161249472351203,0.181089067116927,0.157028281975517,1.22676234698185,0.299282397636133
"AL","Conecuh County","01035",2015,4780,0.330543933054393,0.769874476987448,36.6441422594142,27.8625523012552,0.0690376569037657,0.0523012552301255,0.0711297071129707,0.165271966527197,0.104602510460251,0.0836820083682008,0.728242677824268,0.253138075313808
"AL","Coosa County","01037",2015,3890,0.380462724935733,0.652956298200514,42.3501285347044,31.4133676092545,0.0359897172236504,0.0359897172236504,0.0796915167095116,0.136246786632391,0.123393316195373,0.113110539845758,0.934961439588689,0.272493573264781
"AL","Covington County","01039",2015,14930,0.427997320830543,0.681848626925653,46.0876758204956,34.0663764233088,0.0643000669792364,0.0636302746148694,0.109845947756196,0.167448091091762,0.13596784996651,0.119223040857334,0.918821165438714,0.278633623576691
"AL","Crenshaw County","01041",2015,5780,0.373702422145329,0.724913494809689,42.269723183391,32.7070934256055,0.0761245674740484,0.0397923875432526,0.0795847750865052,0.174740484429066,0.114186851211073,0.0986159169550173,0.77560553633218,0.295847750865052
