"STATE","COUNTYNAME","fips","Year","num.returns","married.pct","dependents.ratio","adjusted.gross.income.avg","wages.avg","farming.ratio","unemployed.ratio","dividends.ratio","business.ratio","realestate.ratio","mortgage.ratio","contributions.ratio","taxcredits.ratio"
"AL","Alabama","01000",2010,2100274,0.374085000338051,0.661141355842143,46.4723512265543,34.4128332779437,0.0238016563553136,0.0845023077941259,0.133525435252734,0.162235022668471,0.239412571883478,0.223847459902851,1.34747180605959,0.332056674510088
"AL","Autauga County","01001",2010,24821,0.410257443293985,0.705289875508642,45.9989927883647,36.1991458845333,0.0168808670077757,0.0661133717416704,0.128077031545868,0.137544820917771,0.250271947141533,0.245397042826639,1.16050924620281,0.367551669956891
"AL","Baldwin County","01003",2010,85312,0.44088756564141,0.61276256564141,50.7716616654164,34.5155898349587,0.0140191297824456,0.0769528319579895,0.192317610652663,0.185038447111778,0.272482183045761,0.255239591147787,1.21557342460615,0.318548387096774
"AL","Barbour County","01005",2010,10873,0.309666145498023,0.664765933964867,33.8762990894877,25.8651706060885,0.0431343695392256,0.087004506575922,0.108893589625678,0.142187068886232,0.16076519819737,0.13997976639382,0.876299089487722,0.29504276648579
"AL","Bibb County","01007",2010,8639,0.407107304086121,0.685380252344021,37.81629818266,29.7056372265308,0.0234980900567195,0.103252691283713,0.071651811552263,0.146776247250839,0.167496237990508,0.161940039356407,0.808889917814562,0.305822433151985
"AL","Blount County","01009",2010,22197,0.526737847456864,0.73694643420282,42.599540478443,33.0041447042393,0.0559084560976709,0.102761634455107,0.097355498490787,0.17168986800018,0.229715727350543,0.217551921430824,0.906158489886021,0.347118980042348
"AL","Bullock County","01011",2010,3807,0.184922511163646,0.773049645390071,30.3879695298135,23.4439190964014,0.0530601523509325,0.0956133438402942,0.070133963750985,0.133438402941949,0.118203309692671,0.101392172314158,0.788284738639349,0.321513002364066
"AL","Butler County","01013",2010,9080,0.300660792951542,0.662885462555066,34.2283039647577,24.8885462555066,0.0502202643171806,0.124008810572687,0.0776431718061674,0.150660792951542,0.121696035242291,0.108590308370044,0.736123348017621,0.304405286343612
"AL","Calhoun County","01015",2010,49014,0.41449381809279,0.661810911168238,41.8412494389358,31.4187171012364,0.0163830742236912,0.0939935528624475,0.12163871546905,0.138878687721875,0.205329089647856,0.194087403598972,1.1543028522463,0.333210919329171
"AL","Chambers County","01017",2010,15039,0.290045880710154,0.6918013165769,32.4836757763149,25.9358334995678,0.0196821597180664,0.124941817940023,0.0877052995544917,0.178070350422236,0.15892014096682,0.149611011370437,0.853979652902454,0.358467983243567
"AL","Cherokee County","01019",2010,9331,0.504447540456543,0.657164291072768,37.5977923052192,28.3739149072983,0.0609795305969349,0.160754474332869,0.120887364698317,0.186153681277462,0.189475940413675,0.166648805058407,0.797770871289251,0.314542921444647
"AL","Chilton County","01021",2010,17727,0.445365826140915,0.7775145258645,39.2258701415919,31.0531392790658,0.0293901957466012,0.0990579342246291,0.0868167202572347,0.167202572347267,0.189259321938286,0.176510407852428,0.952727477858634,0.32171264173295
"AL","Choctaw County","01023",2010,5677,0.376078914919852,0.67923198872644,39.4690857847455,30.978685925665,0.0604192355117139,0.0871939404615114,0.0768011273559979,0.150431565967941,0.172450237801656,0.14444248722917,1.05883389113969,0.319358816276202
"AL","Clarke County","01025",2010,13330,0.291972993248312,0.588597149287322,33.2417104276069,25.1750937734434,0.0312828207051763,0.0931732933233308,0.0922730682670668,0.153713428357089,0.145536384096024,0.130832708177044,0.959939984996249,0.276144036009002
"AL","Clay County","01027",2010,5559,0.449361395934521,0.680518078791149,34.7927684835402,27.9863284763447,0.0696168375607124,0.150386760208671,0.0917431192660551,0.151645979492715,0.158121964382083,0.139413563590574,0.860766324878575,0.319661809678
"AL","Cleburne County","01029",2010,5640,0.516489361702128,0.734751773049645,38.8973404255319,31.1714539007092,0.0670212765957447,0.123581560283688,0.0865248226950355,0.179078014184397,0.192021276595745,0.17854609929078,1.03492907801418,0.326595744680851
"AL","Coffee County","01031",2010,21101,0.441069143642481,0.6695891189991,45.822709824179,35.2824510686697,0.0426520070138856,0.0601393298895787,0.137386853703616,0.13710250699019,0.221506089758779,0.21141178143216,1.06871712241126,0.34083692715985
"AL","Colbert County","01033",2010,23870,0.434604105571848,0.612526183493925,42.8243820695434,31.1994134897361,0.032132383745287,0.105404273146209,0.118181818181818,0.167951403435274,0.21034771679933,0.188604943443653,1.136866359447,0.32744030163385
