"fips","Age.Grouping","Year","Unreliable","County","Deaths","Population","Death.per.100k"
"01001","ADULT",2011,0.508667742267687,"Autauga County, AL",151,29131,518.348151453778
"01001","SENIOR",2011,0,"Autauga County, AL",291,6894,4221.06179286336
"01001","YOUTH",2011,NA,NA,NA,NA,NA
"01003","ADULT",2011,0,"Baldwin County, AL",457,97952,466.55504737014
"01003","SENIOR",2011,0,"Baldwin County, AL",1363,31884,4274.87140885711
"01003","YOUTH",2011,1,"Baldwin County, AL",14,2203,635.497049477985
"01005","ADULT",2011,0.52165922814387,"Barbour County, AL",68,7618,892.622735626149
"01005","SENIOR",2011,0,"Barbour County, AL",208,3988,5215.64694082247
"01005","YOUTH",2011,NA,NA,NA,NA,NA
"01007","ADULT",2011,0.54980595084088,"Bibb County, AL",68,6184,1099.61190168176
"01007","SENIOR",2011,0,"Bibb County, AL",163,2986,5458.80776959143
"01007","YOUTH",2011,NA,NA,NA,NA,NA
"01009","ADULT",2011,0.486209979141145,"Blount County, AL",160,30203,529.748700460219
"01009","SENIOR",2011,0,"Blount County, AL",427,8810,4846.76503972758
"01009","YOUTH",2011,NA,NA,NA,NA,NA
"01011","ADULT",2011,1,"Bullock County, AL",13,1456,892.857142857143
"01011","SENIOR",2011,0,"Bullock County, AL",83,1489,5574.21087978509
"01011","YOUTH",2011,NA,NA,NA,NA,NA
"01013","ADULT",2011,0,"Butler County, AL",44,5790,759.93091537133
"01013","SENIOR",2011,0,"Butler County, AL",213,3480,6120.68965517241
"01013","YOUTH",2011,NA,NA,NA,NA,NA
"01015","ADULT",2011,0,"Calhoun County, AL",394,61377,641.934275054173
"01015","SENIOR",2011,0,"Calhoun County, AL",918,17204,5335.96837944664
"01015","YOUTH",2011,1,"Calhoun County, AL",11,7801,141.007563132932
"01017","ADULT",2011,0.452011173184358,"Chambers County, AL",108,17900,603.351955307263
"01017","SENIOR",2011,0,"Chambers County, AL",328,5811,5644.46738943383
"01017","YOUTH",2011,NA,NA,NA,NA,NA
"01019","ADULT",2011,0.292162786564777,"Cherokee County, AL",87,11254,773.058468100231
"01019","SENIOR",2011,0,"Cherokee County, AL",233,4839,4815.04443066749
"01019","YOUTH",2011,NA,NA,NA,NA,NA
"01021","ADULT",2011,0.494795490865115,"Chilton County, AL",136,23153,587.396881613614
"01021","SENIOR",2011,0,"Chilton County, AL",338,6109,5532.82042887543
"01021","YOUTH",2011,NA,NA,NA,NA,NA
"01023","ADULT",2011,1,"Choctaw County, AL",25,4065,615.006150061501
"01023","SENIOR",2011,0,"Choctaw County, AL",105,2602,4035.35741737125
"01023","YOUTH",2011,NA,NA,NA,NA,NA
"01025","ADULT",2011,0,"Clarke County, AL",73,7174,1017.56342347365
"01025","SENIOR",2011,0,"Clarke County, AL",205,4176,4909.00383141762
"01025","YOUTH",2011,NA,NA,NA,NA,NA
"01027","ADULT",2011,0.529680365296804,"Clay County, AL",55,3942,1395.23084728564
"01027","SENIOR",2011,0,"Clay County, AL",166,2413,6879.40323249068
"01027","YOUTH",2011,NA,NA,NA,NA,NA
"01029","ADULT",2011,0.511935712597495,"Cleburne County, AL",38,4231,898.132829118412
"01029","SENIOR",2011,0,"Cleburne County, AL",111,2489,4459.62233828847
"01029","YOUTH",2011,NA,NA,NA,NA,NA
"01031","ADULT",2011,0.335890271780544,"Coffee County, AL",104,19685,528.321056642113
"01031","SENIOR",2011,0,"Coffee County, AL",360,7375,4881.35593220339
"01031","YOUTH",2011,NA,NA,NA,NA,NA
"01033","ADULT",2011,0.217691848836801,"Colbert County, AL",160,28499,561.423207831854
"01033","SENIOR",2011,0,"Colbert County, AL",498,9477,5254.8274770497
"01033","YOUTH",2011,NA,NA,NA,NA,NA
"01035","ADULT",2011,0.492911392405063,"Conecuh County, AL",40,3950,1012.6582278481
"01035","SENIOR",2011,0,"Conecuh County, AL",130,2443,5321.32623823168
"01035","YOUTH",2011,NA,NA,NA,NA,NA
"01037","ADULT",2011,0.496602337591737,"Coosa County, AL",37,3679,1005.70807284588
"01037","SENIOR",2011,0,"Coosa County, AL",103,1908,5398.32285115304
"01037","YOUTH",2011,NA,NA,NA,NA,NA
"01039","ADULT",2011,0.292201834862385,"Covington County, AL",111,15260,727.391874180865
