"fips","Age.Grouping","Year","Unreliable","County","Deaths","Population","Death.per.100k"
"01001","ADULT",2013,0.50068031957576,"Autauga County, AL",161,28663,561.699752293898
"01001","SENIOR",2013,0,"Autauga County, AL",354,7461,4744.67229593888
"01001","YOUTH",2013,NA,NA,NA,NA,NA
"01003","ADULT",2013,0,"Baldwin County, AL",439,100887,435.140305490301
"01003","SENIOR",2013,0,"Baldwin County, AL",1497,35444,4223.56393183614
"01003","YOUTH",2013,1,"Baldwin County, AL",18,2177,826.825907211759
"01005","ADULT",2013,0,"Barbour County, AL",63,7303,862.659181158428
"01005","SENIOR",2013,0,"Barbour County, AL",195,4295,4540.16298020955
"01005","YOUTH",2013,NA,NA,NA,NA,NA
"01007","ADULT",2013,0,"Bibb County, AL",67,6133,1092.45067666721
"01007","SENIOR",2013,0,"Bibb County, AL",151,3214,4698.19539514624
"01007","YOUTH",2013,NA,NA,NA,NA,NA
"01009","ADULT",2013,0.482542133888404,"Blount County, AL",148,29786,496.87772779158
"01009","SENIOR",2013,0,"Blount County, AL",393,9493,4139.89255240704
"01009","YOUTH",2013,NA,NA,NA,NA,NA
"01011","ADULT",2013,1,"Bullock County, AL",28,2972,942.126514131898
"01011","SENIOR",2013,0,"Bullock County, AL",81,1553,5215.71152607856
"01011","YOUTH",2013,NA,NA,NA,NA,NA
"01013","ADULT",2013,0.469785220240262,"Butler County, AL",53,5494,964.688751365126
"01013","SENIOR",2013,0,"Butler County, AL",175,3593,4870.58168661286
"01013","YOUTH",2013,NA,NA,NA,NA,NA
"01015","ADULT",2013,0.12752190454231,"Calhoun County, AL",427,69392,615.344708323726
"01015","SENIOR",2013,0,"Calhoun County, AL",961,18104,5308.21917808219
"01015","YOUTH",2013,NA,NA,NA,NA,NA
"01017","ADULT",2013,0.299277456647399,"Chambers County, AL",131,13840,946.531791907515
"01017","SENIOR",2013,0,"Chambers County, AL",310,6088,5091.98423127464
"01017","YOUTH",2013,NA,NA,NA,NA,NA
"01019","ADULT",2013,0.284929500091558,"Cherokee County, AL",102,10922,933.894891045596
"01019","SENIOR",2013,0,"Cherokee County, AL",214,5258,4069.98858881704
"01019","YOUTH",2013,NA,NA,NA,NA,NA
"01021","ADULT",2013,0.235823897171337,"Chilton County, AL",145,22873,633.935207449832
"01021","SENIOR",2013,0,"Chilton County, AL",359,6543,5486.77976463396
"01021","YOUTH",2013,NA,NA,NA,NA,NA
"01023","ADULT",2013,0.505058168942843,"Choctaw County, AL",42,3954,1062.21547799697
"01023","SENIOR",2013,0,"Choctaw County, AL",135,2727,4950.49504950495
"01023","YOUTH",2013,NA,NA,NA,NA,NA
"01025","ADULT",2013,0.303440047723205,"Clarke County, AL",73,10058,725.79041558958
"01025","SENIOR",2013,0,"Clarke County, AL",206,4410,4671.20181405896
"01025","YOUTH",2013,NA,NA,NA,NA,NA
"01027","ADULT",2013,0,"Clay County, AL",20,1860,1075.2688172043
"01027","SENIOR",2013,0,"Clay County, AL",127,2566,4949.33749025721
